EmployeeId,FirstName,LastName,Role,HireDate,IsActive,StoreId
EMP001,Sarah,Johnson,Store Manager,2018-03-15T00:00:00,true,STR001
EMP002,Michael,Chen,QA Inspector,2019-01-10T00:00:00,true,STR001
EMP003,Emily,Rodriguez,Supervisor,2019-06-20T00:00:00,true,STR002
EMP004,David,Kim,QA Inspector,2020-02-15T00:00:00,true,STR002
EMP005,Jennifer,Williams,Store Manager,2020-01-10T00:00:00,true,STR003
EMP006,Robert,Martinez,QA Inspector,2020-05-20T00:00:00,true,STR003
EMP007,Lisa,Anderson,Supervisor,2019-11-05T00:00:00,true,STR004
EMP008,James,Taylor,QA Inspector,2020-08-10T00:00:00,true,STR004
EMP009,Amanda,Brown,Store Manager,2021-02-28T00:00:00,true,STR005
EMP010,Christopher,Davis,QA Inspector,2021-06-15T00:00:00,true,STR005
EMP011,Michelle,Wilson,Supervisor,2020-08-15T00:00:00,true,STR006
EMP012,Daniel,Moore,QA Inspector,2021-01-20T00:00:00,true,STR006
EMP013,Jessica,Thomas,Store Manager,2022-04-01T00:00:00,true,STR007
EMP014,Matthew,Jackson,QA Inspector,2022-07-10T00:00:00,true,STR007
EMP015,Ashley,White,Supervisor,2021-09-12T00:00:00,true,STR008
EMP016,Andrew,Harris,QA Inspector,2022-01-05T00:00:00,true,STR008
EMP017,Stephanie,Martin,Store Manager,2023-01-20T00:00:00,true,STR009
EMP018,Joshua,Thompson,QA Inspector,2023-04-15T00:00:00,true,STR009
EMP019,Nicole,Garcia,Supervisor,2022-07-08T00:00:00,true,STR010
EMP020,Ryan,Martinez,QA Inspector,2022-10-20T00:00:00,true,STR010
EMP021,Megan,Robinson,Store Manager,2023-05-15T00:00:00,true,STR011
EMP022,Kevin,Clark,QA Inspector,2023-08-01T00:00:00,true,STR011
EMP023,Rachel,Lewis,Supervisor,2024-02-01T00:00:00,true,STR012
EMP024,Brandon,Lee,QA Inspector,2024-05-10T00:00:00,true,STR012
